,name,link_id,from_node_id,to_node_id,direction,length,number_of_lanes,speed_limit,lane_cap,link_type,link_type_name,jam_density,wave_speed,demand_type_code,count_sensor_id,speed_sensor_id,geometry
0,50 Street,0.0,61.0,83.0,1.0,0.66018,4.0,60.0,1900.0,1.0,Freeway,180.0,12.0,,,,"<LineString><coordinates>1.149536,3.109696,0.0 0.489352,3.109696,0.0</coordinates></LineString>"
1,50 Street,0.0,83.0,61.0,1.0,0.66018,4.0,60.0,1900.0,1.0,Freeway,180.0,12.0,,,,"<LineString><coordinates>0.489352,3.104014,0.0 1.149536,3.104014,0.0</coordinates></LineString>"
