agent_id,tour_id,from_zone_id,to_zone_id,from_origin_node_id,to_destination_node_id,departure_time_in_min,end_time_in_min,travel_time_in_min,demand_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
75,75,57,94,57,94,421.06,426.20,5.14,1,1,10.00,1,0,3.98,
76,76,16,94,16,94,421.06,426.30,5.24,1,1,10.00,1,0,3.96,
77,77,92,94,92,94,421.06,422.10,1.04,1,1,10.00,1,0,0.56,
78,78,77,94,77,94,421.14,426.20,5.06,1,1,10.00,1,15,3.92,
79,79,57,94,57,94,421.14,426.40,5.26,1,1,10.00,1,5,3.98,
80,80,104,94,104,94,421.14,423.40,2.26,1,1,10.00,1,10,1.68,
81,81,16,94,16,94,421.14,426.80,5.66,1,1,10.00,1,0,4.21,
82,82,92,94,92,94,421.14,422.20,1.06,1,1,10.00,1,0,0.56,
83,83,57,94,57,94,421.21,426.40,5.19,1,1,10.00,1,0,3.98,
84,84,16,94,16,94,421.21,426.30,5.09,1,1,10.00,1,5,3.96,
85,85,77,94,77,94,421.21,426.60,5.39,1,1,10.00,1,10,3.92,
86,86,104,94,104,94,421.21,423.40,2.19,1,1,10.00,1,5,1.68,
87,87,92,94,92,94,421.21,422.40,1.19,1,1,10.00,1,0,0.56,
88,88,16,94,16,94,421.29,426.50,5.21,1,1,10.00,1,5,3.96,
89,89,104,94,104,94,421.29,423.50,2.21,1,1,10.00,1,10,1.68,
90,90,92,94,92,94,421.29,422.40,1.11,1,1,10.00,1,10,0.56,
91,91,57,94,57,94,421.29,426.60,5.31,1,1,10.00,1,15,3.98,
92,92,77,94,77,94,421.29,426.60,5.31,1,1,10.00,1,5,3.92,
93,93,16,94,16,94,421.36,426.50,5.14,1,1,10.00,1,15,3.96,
94,94,92,94,92,94,421.36,422.40,1.04,1,1,10.00,1,0,0.56,
95,95,104,94,104,94,421.36,423.70,2.34,1,1,10.00,1,0,1.68,
96,96,57,94,57,94,421.36,426.70,5.34,1,1,10.00,1,5,3.98,
97,97,77,94,77,94,421.36,426.70,5.34,1,1,10.00,1,15,3.92,
98,98,77,94,77,94,421.44,426.70,5.26,1,1,10.00,1,10,3.92,
99,99,104,94,104,94,421.44,423.70,2.26,1,1,10.00,1,5,1.68,
100,100,57,94,57,94,421.44,426.90,5.46,1,1,10.00,1,10,3.98,
101,101,92,94,92,94,421.44,422.50,1.06,1,1,10.00,1,15,0.56,
102,102,16,94,16,94,421.44,427.00,5.56,1,1,10.00,1,5,4.21,
103,103,57,94,57,94,421.51,426.90,5.39,1,1,10.00,1,15,3.98,
104,104,92,94,92,94,421.51,422.70,1.19,1,1,10.00,1,5,0.56,
105,105,77,94,77,94,421.51,426.90,5.39,1,1,10.00,1,0,3.92,
106,106,104,94,104,94,421.51,423.80,2.29,1,1,10.00,1,5,1.68,
107,107,16,94,16,94,421.51,427.20,5.69,1,1,10.00,1,15,4.21,
108,108,57,295,57,295,421.54,424.70,3.16,1,1,10.00,1,0,2.77,
109,109,77,132,77,132,421.56,426.80,5.24,1,1,10.00,1,10,3.78,
110,110,77,59,77,59,421.58,423.80,2.22,1,1,10.00,1,0,1.47,
111,111,16,88,16,88,421.58,428.20,6.62,1,1,10.00,1,15,4.91,
112,112,57,88,57,88,421.58,425.80,4.22,1,1,10.00,1,10,2.66,
113,113,104,88,104,88,421.58,424.90,3.32,1,1,10.00,1,5,1.56,
114,114,92,88,92,88,421.58,424.80,3.22,1,1,10.00,1,5,1.56,
