link_id,MD,EV,NT
0,246.36873552297484,2.8010761206363667e-11,246.3687355229477
1,286.75004427962097,286.7395164182351,0.01052786138614398
2,246.36873552297484,2.8010761206363667e-11,246.3687355229477
3,286.75004427962097,286.7395164182351,0.01052786138614398
4,246.36873552297484,2.8010761206363667e-11,246.3687355229477
5,286.75004427962097,286.7395164182351,0.01052786138614398
6,246.36873552297484,2.8010761206363667e-11,246.3687355229477
7,286.75004427962097,286.7395164182351,0.01052786138614398
8,246.36873552297484,2.8010761206363667e-11,246.3687355229477
9,507.03999426293325,5.764764011645692e-11,507.0399942628764
10,1019.4045691800206,1019.3671423331382,0.0374268468822402
11,286.75004427962097,286.7395164182351,0.01052786138614398
12,286.75004427962097,286.7395164182351,0.01052786138614398
21,260.6712587399577,2.963687891009325e-11,260.671258739929
22,732.6545249003988,732.6276259149038,0.02689898549609646
23,260.6712587399577,2.963687891009325e-11,260.671258739929
24,260.6712587399577,2.963687891009325e-11,260.671258739929
25,732.6545249003988,732.6276259149038,0.02689898549609646
28,13.68757026957169,2.2899598579550666,12.865498956877765
29,2.584559222634152,2.5844643320429146,9.48905912413356e-05
30,139.64392912668387,0.09716031325056174,139.5467688134338
31,527.2500814173661,524.6462594047126,2.603822012655851
36,21.561639621997855,18.778370709280665,10.668037724217527
37,489.012059214284,122.28868026020365,376.5993833513493
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,2.584559222634152,2.5844643320429146,9.48905912413356e-05
41,0.0,0.0,0.0
42,26.130335769445907,23.612653955482866,108.67766856199628
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,571.2902725352011,100.21161092650735,179.55911239400345
47,184.2865752056687,340.8053542454628,853.4999954503376
58,133.49101519148232,138.37210929916418,637.9720740481589
59,454.91925349387776,34.147059620673375,133.54024955162143
108,477.5904859946719,93.17833595986119,152.05380726247546
109,27.495164323021733,28.500524004902477,131.40320331141183
110,0.0,0.0,0.0
111,0.0,0.0,0.0
174,657.2021549877524,49.33077902692861,192.91981842687377
175,285.95108658643625,28.50052400493186,389.8591255747979
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,26.49896271711515,27.46789632356543,126.64221768418676
181,0.0,0.0,0.0
182,195.0323655979675,202.16371694144155,932.0867221556148
183,348.7607890017514,6.77844616353619,284.96465836840935
184,133.49101519148232,138.37210929916418,637.9720740481589
185,454.91925349387776,34.147059620673375,133.54024955162143
186,1301.9959993720915,1301.9481973449272,0.04780202716668787
187,1301.9959993720881,1.4802973661668758e-10,1301.9959993719447
188,39.05987998116275,39.05844592034779,0.0014340608150006362
189,26.42857550964238,3.0047827134133597e-12,26.42857550963947
190,26.03991998744183,26.038963946898534,0.0009560405433337573
191,13.4086155159215,1.5244853472464836e-12,13.408615515920026
192,13.019959993720915,13.019481973449269,0.0004780202716668786
193,21.06512930327378,2.3949885745147657e-12,21.06512930327146
194,0.0,0.0,0.0
195,2.6817231031843005,3.0489706944929676e-13,2.681723103184005
196,10.338236890536578,1.1754002967175789e-12,10.33823689053544
197,13.019959993720915,13.019481973449269,0.0004780202716668786
198,13.4086155159215,1.5244853472464836e-12,13.408615515920026
199,63.19538790982148,52.8552103996758,10.340177510145786
200,16.0903386191058,1.8293824166957806e-12,16.09033861910403
201,65.87711101300583,65.87469237312389,0.0024186398820159978
202,29.11029861282668,3.3096797828626562e-12,29.110298612823478
203,130.97691098161042,130.9721022403702,0.004808741240350391
204,42.13025860654756,4.789977149029532e-12,42.130258606542924
205,143.99687097533138,143.99158421381946,0.00528676151201727
206,55.15021860026842,6.270274515196408e-12,55.150218600262356
207,183.05675095649406,183.05003013416734,0.006720822327017906
208,52.37133161653415,52.36940883350115,0.0019227830330481167
209,60.99948420938781,6.93530363044451e-12,60.99948420938111
210,39.35137162281322,39.34992686005189,0.0014447627613812378
211,47.979524215666935,5.455006264277635e-12,47.97952421566166
212,26.331411629092294,26.330444886602628,0.0009667424897143589
213,34.95956422194605,3.974708898110759e-12,34.95956422194221
214,18.286242319539372,18.285570950769795,0.0006713687696097504
215,42.61607800929836,10.337857328175325,32.27822068112317
216,25.942756106891643,15.603946305493356,10.338809801398348
217,18.869225602840256,2.1453264814149792e-12,18.86922560283818
218,2.584559222634152,2.5844643320429146,9.48905912413356e-05
219,0.09716388055015583,1.1046995269902056e-14,0.09716388055014513
220,2.5845592226341445,2.938500741793947e-13,2.58455922263386
221,15.798846977455378,15.798266931961574,0.0005800454938286154
222,36.47532075852849,4.147042024321231e-12,36.475320758524475
223,8.142333190103079,8.142034249067526,0.0002989410355648092
224,28.818806971176212,3.27653879705295e-12,28.81880697117304
225,36.86397628072922,36.86262284124367,0.0013534394856001028
226,104.25684383031711,1.1853425924604909e-11,104.25684383030566
227,49.88393627445015,49.88210481469293,0.0018314597572669819
228,59.639189881685674,20.870035282817113,38.769154598868745
229,101.95634793248783,366.9919839788457,275.32662666045536
230,69.78309901112192,10.337857328178416,59.44524168294374
231,117.26937550719245,387.66769863518846,269.9639395788173
232,105.96692812799989,5.168928664097294,100.79799946390297
233,173.93535064404347,449.69484260421797,264.60277074663907
234,121.47428346380471,1.3810953486431553e-11,121.47428346379134
235,184.2735875345801,470.5648778870296,254.07097235436422
236,163.2158865481516,1.8556742654381473e-11,163.21588654813365
237,226.01519061892722,517.4738771167406,248.9035762090007
238,999.6069976660121,974.6069155451279,649.733446984009
239,791.7438927021454,2602.5438753397,1431.3735936033227
240,1025.6469176534538,974.6069155451308,675.7733669714479
