link_id,NT,EM,LM,EA,EV
0,39.947710337,1050.18442472,1166.10880128,650.955630811,56.7471642485
1,29.9138381789,72.1800684336,863.117834784,1837.3104932,340.981943019
2,39.947710337,1050.18442472,1166.10880128,650.955630811,56.7471642485
3,29.9138381789,72.1800684336,863.117834784,1837.3104932,340.981943019
4,39.947710337,1050.18442472,1166.10880128,650.955630811,56.7471642485
5,29.9138381789,72.1800684336,863.117834784,1837.3104932,340.981943019
6,39.947710337,1050.18442472,1166.10880128,650.955630811,56.7471642485
7,29.9138381789,72.1800684336,863.117834784,1837.3104932,340.981943019
8,39.947710337,1050.18442472,1166.10880128,650.955630811,56.7471642485
9,92.6060557813,2434.51843912,2703.25222116,1509.03350779,131.550244394
10,100.146327816,241.64631606,2889.56840341,6150.99599899,1141.54824402
11,29.9138381789,72.1800684336,863.117834784,1837.3104932,340.981943019
12,29.9138381789,72.1800684336,863.117834784,1837.3104932,340.981943019
21,52.6583454443,1384.3340144,1537.14341987,858.077876978,74.8030801458
22,70.2324896373,169.466247627,2026.45056862,4313.68550578,800.566301002
23,52.6583454443,1384.3340144,1537.14341987,858.077876978,74.8030801458
24,52.6583454443,1384.3340144,1537.14341987,858.077876978,74.8030801458
25,70.2324896373,169.466247627,2026.45056862,4313.68550578,800.566301002
28,19.9738551685,525.09221236,583.054400641,325.477815406,28.3735821242
29,0.650300829973,1.56913192246,18.7634311909,39.9415324608,7.41265093517
30,36.3161003064,954.713113381,1060.09891026,591.777846192,51.588331135
31,43.7327308158,105.524121786,1261.84074759,2686.068058,498.500775392
36,0.875101272816,15.4293171169,9.91571595,26.0380838626,2.77611053483
37,645.641755794,111.730612019,192.347628514,630.550570213,2600.68733795
38,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0
40,0.650300829973,1.56913192246,18.7634311909,39.9415324608,7.41265093517
41,0.0,0.0,0.0,0.0,0.0
42,41.6850343456,3.21242084791,2.52322070205,26.4043903394,53.987786125
43,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0
45,2.72370752297,71.6034835035,79.5074182689,44.3833384644,3.86912483511
46,519.611903324,1486.43649344,1869.94639359,4283.23807333,4841.12151375
47,722.26938236,42.736301723,103.825131067,570.397802492,1650.68055148
58,433.079652984,13.3724605031,13.3724605031,241.141977672,558.75804488
59,13.6734573877,241.083079951,154.933061719,406.845060354,43.3767271068
108,36.0373734929,178.367880415,160.553411151,423.395716363,303.253420025
109,277.17097791,8.55837472201,8.55837472201,154.33086571,357.605148723
110,0.0,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0,0.0
174,1391.44078772,2650.8717925,6811.37029279,9533.81781201,4953.88373694
175,201.91954907,3033.88862709,3368.48853217,1927.12305719,275.54456033
176,0.0,0.0,0.0,0.0,0.0
177,0.0,0.0,0.0,0.0,0.0
178,0.0,0.0,0.0,0.0,0.0
179,0.0,0.0,0.0,0.0,0.0
180,86.6159305968,2.67449210063,2.67449210063,48.2283955345,111.751608976
181,0.0,0.0,0.0,0.0,0.0
182,1618.14339661,2425.97590679,5711.05065781,7276.83109601,4875.54554255
183,25.432254169,644.912311853,693.548431254,451.230165941,40.9180523808
184,433.079652984,13.3724605031,13.3724605031,241.141977672,558.75804488
185,13.6734573877,241.083079951,154.933061719,406.845060354,43.3767271068
186,81.287603747,196.141490309,2345.42889887,4992.69155762,926.5813669
187,113.487813457,2983.47847932,3312.80909455,1849.30576935,161.213534797
188,0.0,0.0,0.0,0.0,0.0
189,5.44741504596,143.206967007,159.014836539,88.7666769288,7.73824967025
190,0.0,0.0,0.0,0.0,0.0
191,5.44741504596,143.206967007,159.014836539,88.7666769288,7.73824967025
192,0.0,0.0,0.0,0.0,0.0
193,5.44741504596,143.206967007,159.014836539,88.7666769288,7.73824967025
194,0.0,0.0,0.0,0.0,0.0
195,0.0,0.0,0.0,0.0,0.0
196,0.0,0.0,0.0,0.0,0.0
197,0.0,0.0,0.0,0.0,0.0
198,10.8948300919,286.413934015,318.029673077,177.533353858,15.4764993405
199,7.8036099597,18.8295830696,225.161174291,479.298389531,88.9518112224
200,10.8948300919,286.413934015,318.029673077,177.533353858,15.4764993405
201,7.8036099597,18.8295830696,225.161174291,479.298389531,88.9518112224
202,10.8948300919,286.413934015,318.029673077,177.533353858,15.4764993405
203,19.5090248993,47.0739576741,562.902935729,1198.24597383,222.379528056
204,10.8948300919,286.413934015,318.029673077,177.533353858,15.4764993405
205,19.5090248993,47.0739576741,562.902935729,1198.24597383,222.379528056
206,10.8948300919,286.413934015,318.029673077,177.533353858,15.4764993405
207,36.4168464786,87.8713876583,1050.75214669,2236.72581781,415.108452371
208,5.2024066398,12.5530553798,150.107449528,319.532259688,59.3012074816
209,0.0,0.0,0.0,0.0,0.0
210,5.2024066398,12.5530553798,150.107449528,319.532259688,59.3012074816
211,0.0,0.0,0.0,0.0,0.0
212,5.2024066398,12.5530553798,150.107449528,319.532259688,59.3012074816
213,0.0,0.0,0.0,0.0,0.0
214,1.30060165995,3.13826384494,37.5268623819,79.8830649219,14.8253018704
215,0.0,0.0,0.0,0.0,0.0
216,1.30060165995,3.13826384494,37.5268623819,79.8830649219,14.8253018704
217,0.0,0.0,0.0,0.0,0.0
218,0.0,0.0,0.0,0.0,0.0
219,0.0,0.0,0.0,0.0,0.0
220,0.0,0.0,0.0,0.0,0.0
221,0.0,0.0,0.0,0.0,0.0
222,7.26322006128,190.942622676,212.019782052,118.355569238,10.317666227
223,0.0,0.0,0.0,0.0,0.0
224,7.26322006128,190.942622676,212.019782052,118.355569238,10.317666227
225,0.0,0.0,0.0,0.0,0.0
226,14.5264401226,381.885245353,424.039564103,236.711138477,20.635332454
227,0.0,0.0,0.0,0.0,0.0
228,0.0,0.0,0.0,0.0,0.0
229,229.807568547,121.340386323,175.773496086,313.767632193,1009.20753032
230,56.0385462872,58.2737020114,106.971492602,394.083677648,558.815627302
231,232.408771866,127.616914013,250.82722085,473.533762036,1038.85813406
232,56.0385462872,58.2737020114,106.971492602,394.083677648,558.815627302
233,910.936647414,205.224138968,460.118036031,1237.30330476,4051.00422566
234,56.0385462872,58.2737020114,106.971492602,394.083677648,558.815627302
235,911.722045719,163.765010988,482.166815282,1367.48054229,4078.07541284
236,56.0385462872,58.2737020114,106.971492602,394.083677648,558.815627302
237,911.722045719,163.765010988,482.166815282,1367.48054229,4078.07541284
238,253.207065394,996.86529875,1275.96509861,2049.75698754,2276.53317411
239,1258.92469093,178.369946634,815.258745224,2318.89940825,5692.75880612
240,253.207065394,996.86529875,1275.96509861,2049.75698754,2276.53317411
241,1258.92469093,178.369946634,815.258745224,2318.89940825,5692.75880612
242,262.28609047,1235.5435771,1540.98982618,2197.70144909,2289.43025689
243,1268.02890255,200.337793548,1077.9467819,2878.08086271,5796.53591921
244,262.28609047,1235.5435771,1540.98982618,2197.70144909,2289.43025689
245,1271.93070753,209.752585083,1190.52736904,3117.73005747,5841.01182482
246,331.286681052,3049.49849252,3555.17775567,3322.07935686,2387.44808605
247,1281.03491915,231.720431998,1453.21540572,3676.91151193,5944.78893791
248,44.4654648445,237.354882355,1284.820708,2485.25862459,452.497305782
249,53.9841336473,1170.76184682,1572.33359136,1349.19793481,180.508412325
250,34.0606515649,212.248771596,984.605808941,1846.19410521,333.894890819
251,20.2692366608,222.325261126,587.288405871,917.186218457,158.570684931
252,31.459448245,205.972243906,909.552084177,1686.42797537,304.244287078
253,22.8704399807,228.601788816,662.342130634,1076.9523483,188.221288672
254,21.0546349654,180.866133147,609.337185122,1047.36345599,185.641872115
255,36.1466515294,173.927907462,1044.18145057,2056.25440767,375.791379874
256,18.4534316455,174.589605457,534.283460358,887.597326148,155.991268374
257,36.1466515294,173.927907462,1044.18145057,2056.25440767,375.791379874
258,11.6802283965,244.954806035,340.078452328,307.710591392,42.5476865245
