LinkID,L0,L1re,L1im,L2re,L2im,L3re,L3im
1320,6.5234375,-2.041015625,0.447021484375,-1.4296875,0.217529296875,0.0402526855469,-0.105590820312
1321,5.44140625,-3.07421875,0.3271484375,-1.9599609375,0.50732421875,-0.087646484375,0.0150451660156
1294,-0.9619140625,-4.5078125,1.0537109375,-3.9296875,1.3447265625,1.1474609375,-0.168090820312
1295,1.3681640625,-2.439453125,0.31689453125,-2.857421875,0.72412109375,1.4873046875,-0.65380859375
1272,8.5078125,0.0,0.0,0.0,0.0,0.0,0.0
1273,-1.0673828125,-4.96484375,0.0724487304688,-4.23828125,0.70654296875,0.8408203125,-0.736328125
